plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG04,57549600,2009-06-01T00:00,NA,NA,NA,81.35,13.75,27.16,1.91
AEG04,57592800,2009-07-01T00:00,NA,NA,NA,81.87,16.03,28.69,3.72
AEG04,57637440,2009-08-01T00:00,NA,NA,NA,83.09,16.26,30.79,1.01
AEG04,57682080,2009-09-01T00:00,NA,NA,NA,88.59,12.72,28.17,1.77
AEG04,57725280,2009-10-01T00:00,NA,NA,NA,92.61,6.42,23.44,-3.88
AEG04,57769920,2009-11-01T00:00,NA,NA,NA,94.44,4.12,14.59,-4.97
AEG04,57813120,2009-12-01T00:00,NA,NA,NA,93.55,-1.54,8.07,-23.99
AEG04,57857760,2010-01-01T00:00,NA,NA,NA,96.59,-4.20,4.32,-15.74
AEG04,57902400,2010-02-01T00:00,NA,NA,NA,89.95,-1.38,11.92,-11.89
AEG04,57942720,2010-03-01T00:00,NA,NA,NA,80.43,1.88,19.45,-13.36
AEG04,57987360,2010-04-01T00:00,NA,NA,NA,75.73,6.39,24.67,-5.87
AEG04,58030560,2010-05-01T00:00,NA,NA,NA,90.72,9.16,24.93,-0.35
AEG04,58075200,2010-06-01T00:00,NA,NA,NA,83.70,14.75,27.95,1.19
AEG04,58118400,2010-07-01T00:00,NA,NA,NA,82.05,17.66,31.89,4.54
AEG04,58163040,2010-08-01T00:00,NA,NA,NA,91.15,14.59,27.76,3.84
AEG04,58207680,2010-09-01T00:00,NA,NA,NA,89.71,9.92,23.01,-0.52
AEG04,58250880,2010-10-01T00:00,NA,NA,NA,93.13,6.21,19.75,-7.87
AEG04,58295520,2010-11-01T00:00,NA,NA,NA,95.87,3.11,17.99,-15.78
AEG04,58338720,2010-12-01T00:00,NA,NA,NA,98.51,-3.78,6.59,-18.47
AEG04,58383360,2011-01-01T00:00,NA,NA,NA,98.30,-1.71,8.59,-17.34
AEG04,58428000,2011-02-01T00:00,NA,NA,NA,95.89,-0.36,12.70,-18.66
AEG04,58468320,2011-03-01T00:00,NA,NA,NA,79.88,3.50,17.96,-8.34
AEG04,58512960,2011-04-01T00:00,NA,NA,NA,77.05,8.92,22.75,-4.64
AEG04,58556160,2011-05-01T00:00,NA,NA,NA,77.72,11.79,26.69,-4.28
AEG04,58600800,2011-06-01T00:00,NA,NA,NA,86.47,14.82,30.27,4.80
AEG04,58644000,2011-07-01T00:00,NA,NA,NA,87.61,14.17,27.89,1.31
AEG04,58688640,2011-08-01T00:00,NA,NA,NA,86.71,16.47,31.23,2.70
AEG04,58733280,2011-09-01T00:00,NA,NA,NA,89.94,13.16,26.80,1.75
AEG04,58776480,2011-10-01T00:00,NA,NA,NA,90.84,6.96,22.66,-5.98
AEG04,58821120,2011-11-01T00:00,NA,NA,NA,96.85,2.54,17.60,-6.12
AEG04,58864320,2011-12-01T00:00,NA,NA,NA,96.02,1.74,12.08,-10.99
AEG04,58908960,2012-01-01T00:00,NA,NA,NA,95.67,-0.03,8.51,-11.63
AEG04,58953600,2012-02-01T00:00,NA,NA,NA,84.13,-5.88,12.21,-22.84
AEG04,58995360,2012-03-01T00:00,NA,NA,NA,82.44,4.63,19.89,-6.20
AEG04,59040000,2012-04-01T00:00,NA,NA,NA,79.85,6.44,27.20,-6.98
AEG04,59083200,2012-05-01T00:00,NA,NA,NA,76.87,12.39,28.01,-3.43
